Fiscal Year Closed,Release Month & Year,Closure Type,Race - Ethnicity,Sex,Age at Closure,Institution Name ,Convicting Offense,Convicting Offense Classification,Zip Code of Work Unit Region,Convicting Offense Description,Convicting Offense Type,Convicting Offense Subtype,Months Served
2014,06/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,59,Newton Correctional Facility,714.2(3),Aggravated Misdemeanor,"50208(41.707788, -93.035318)",THEFT 3RD DEGREE,Property,Theft,10.03
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,57,Clarinda Correctional Facility,123.91(2),Aggravated Misdemeanor,"51632(40.747654, -95.045654)","ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol,5.36
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,48,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,7.93
2016,07/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,44,Mount Pleasant Correctional Facility,728.12(1),C Felony,"52641(40.988278, -91.57896)",SEXUAL EXPLOIT. OF MINOR,Violent,Sex,135.66
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,28,Fort Dodge Correctional Facility,713.3,B Felony,"50501(42.494187, -94.188076)",BURGLARY 1ST DEGREE,Violent,Other Violent,35.72
2015,06/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,28,Fort Dodge Correctional Facility,714.2(1),C Felony,"50501(42.494187, -94.188076)",THEFT 1ST DEGREE,Property,Theft,24.31
2016,04/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,21,Mount Pleasant Correctional Facility,714.2(2),D Felony,"52641(40.988278, -91.57896)",THEFT 2ND DEGREE,Property,Theft,8.29
2016,05/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,35,Iowa Correctional Institution for Women,714.7,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",OPERATE VEHICLE NO CONSENT,Property,Theft,3.42
2014,06/01/2014 12:00:00 AM,Paroled to Detainer - INS,White - Hispanic,Male,26,Fort Dodge Correctional Facility,708.2A(2B),Serious Misdemeanor,"50501(42.494187, -94.188076)",DOMESTIC ABUSE ASSAULT - BODILY INJURY - MENTAL,Violent,Assault,7.6
2015,06/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,24,Clarinda Correctional Facility,724.26,D Felony,"51632(40.747654, -95.045654)","REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,9.87
2015,05/01/2015 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,30,Mount Pleasant Correctional Facility,709.4(2)(b),C Felony,"52641(40.988278, -91.57896)",Sexual Abuse-3rd/Victim 12 or 13 Yrs Old-Life Supervision,Violent,Sex,51.12
2014,05/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,23,North Central Correctional Facility,"706.1,A",C Felony,"50579(42.394184, -94.640946)",Conspiracy/Commit Forcible Felony,Other,Other Violent,13.19
2014,06/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,26,North Central Correctional Facility,726.6(2A),D Felony,"50579(42.394184, -94.640946)",Child Endangerment Resulting in Bodily Injury,Violent,Assault,8.09
2016,06/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,21,Clarinda Correctional Facility,713.5,C Felony,"51632(40.747654, -95.045654)",BURGLARY 2ND DEGREE,Property,Burglary,25.03
2015,06/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,59,Iowa State Penitentiary,124.401(1)(c)(3),C Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 5gm",Drug,Trafficking,8.29
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,55,Iowa State Penitentiary,321J.2(C),D Felony,"52627(40.651925, -91.34727)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,8.62
2014,06/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,21,Fort Dodge Correctional Facility,716.4,D Felony,"50501(42.494187, -94.188076)",CRIMINAL MISCHIEF 2ND DEGREE,Property,Vandalism,8.32
2014,06/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,47,Iowa State Penitentiary,124.401(1)(d)(2),D Felony,"52627(40.651925, -91.34727)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,12.2
2014,05/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,35,Fort Dodge Correctional Facility,715A.2(2)a,D Felony,"50501(42.494187, -94.188076)",FORGERY,Property,Forgery/Fraud,8.95
2015,05/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Female,24,Iowa Correctional Institution for Women,726.3,C Felony,"50169(41.658201, -93.356797)",NEGLECT OR ABANDONMENT,Violent,Other Violent,12.37
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,37,Clarinda Correctional Facility,714.2(1),C Felony,"51632(40.747654, -95.045654)",THEFT 1ST DEGREE,Property,Theft,36.94
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,25,Fort Dodge Correctional Facility,713.5,C Felony,"50501(42.494187, -94.188076)",BURGLARY 2ND DEGREE,Property,Burglary,15.72
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,24,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,3.36
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,37,Iowa Correctional Institution for Women,711.3,C Felony,"50169(41.658201, -93.356797)","ROBBERY 2ND DEGREE, 85%",Violent,Robbery,88.49
2014,05/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,31,North Central Correctional Facility,"902.8,A",Felony - Enhancement to Original Penalty,"50579(42.394184, -94.640946)",HABITUAL OFFENDER (PERSON),Other,Other Criminal,28.09
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,51,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,14.24
2014,05/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,53,Clarinda Correctional Facility,124.411,Felony - Enhancement to Original Penalty,"51632(40.747654, -95.045654)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,38.49
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Hispanic,Male,26,Clarinda Correctional Facility,124.401(1)(c)(6),C Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,19.61
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,22,Clarinda Correctional Facility,714.2(2),D Felony,"51632(40.747654, -95.045654)",THEFT 2ND DEGREE,Property,Theft,15.82
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,30,Anamosa State Penitentiary,713.6A,D Felony,"52205(42.112167, -91.282703)",BURGLARY 3RD DEGREE,Property,Burglary,12.14
2015,05/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,27,Fort Dodge Correctional Facility,708.8,D Felony,"50501(42.494187, -94.188076)",GOING ARMED WITH INTENT,Violent,Assault,8.45
2016,05/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,52,Clarinda Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"51632(40.747654, -95.045654)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,14.93
2016,04/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,25,Mount Pleasant Correctional Facility,709.4(2)(b),C Felony,"52641(40.988278, -91.57896)",Sexual Abuse-3rd/Victim 12 or 13 Yrs Old-Life Supervision,Violent,Sex,49.8
2015,06/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,47,Clarinda Correctional Facility,714.2(2),D Felony,"51632(40.747654, -95.045654)",THEFT 2ND DEGREE,Property,Theft,12.99
2015,05/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,43,Iowa Correctional Institution for Women,713.6A,D Felony,"50169(41.658201, -93.356797)",BURGLARY 3RD DEGREE,Property,Burglary,6.51
2014,06/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,19,Fort Dodge Correctional Facility,708.6(2),D Felony,"50501(42.494187, -94.188076)",INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault,9.18
2014,05/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,19,Mount Pleasant Correctional Facility,709.11(3),Aggravated Misdemeanor,"52641(40.988278, -91.57896)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,2.83
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,Iowa State Penitentiary,124.401(5)(c),D Felony,"52627(40.651925, -91.34727)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,7.2
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,49,North Central Correctional Facility,124.401(1)(b)(7),B Felony,"50579(42.394184, -94.640946)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Meth GT 5gm but LT 5kg",Drug,Trafficking,28.91
2014,05/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,69,Mount Pleasant Correctional Facility,709.11(3),Aggravated Misdemeanor,"52641(40.988278, -91.57896)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,21.51
2014,05/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,Fort Dodge Correctional Facility,706A.4,B Felony,"50501(42.494187, -94.188076)",VIOLATION OF 706A.2 - ONGOING CRIMINAL CONDUCT,Other,Other Criminal,10.82
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,23,Iowa Correctional Institution for Women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,13.75
2016,05/01/2016 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,39,Anamosa State Penitentiary,714.2(2),D Felony,"52205(42.112167, -91.282703)",THEFT 2ND DEGREE,Property,Theft,4.34
2014,06/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,22,Iowa State Penitentiary,124.401(4)(b),D Felony,"52627(40.651925, -91.34727)",Proh Acts-Poss Prod Int for Mfg Cont Subst-Pseudoephedrine,Drug,Trafficking,10.33
2014,12/01/2013 12:00:00 AM,Work Release Granted,American Indian or Alaska Native - Non-Hispanic,Male,34,North Central Correctional Facility,"902.8,A",Felony - Enhancement to Original Penalty,"50579(42.394184, -94.640946)",HABITUAL OFFENDER (PERSON),Other,Other Criminal,115.76
2014,06/01/2014 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Female,25,Iowa Correctional Institution for Women,124.401(5)b,Aggravated Misdemeanor,"50169(41.658201, -93.356797)",Possession of a Controlled Substance - 2nd Offense,Drug,Drug Possession,16.05
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,51,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,4.34
2016,06/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,36,Fort Dodge Correctional Facility,124.411,Felony - Enhancement to Original Penalty,"50501(42.494187, -94.188076)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,59.01
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,44,Clarinda Correctional Facility,124.401(1)(c)(6),C Felony,"51632(40.747654, -95.045654)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,12.73
2016,05/01/2016 12:00:00 AM,Paroled to Detainer - Out of State,White - Non-Hispanic,Male,60,Clarinda Correctional Facility,708.2(4),D Felony,"51632(40.747654, -95.045654)",ASSAULT - SERIOUS INJURY,Violent,Assault,21.51
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Hispanic,Male,39,North Central Correctional Facility,"902.8,A",Felony - Enhancement to Original Penalty,"50579(42.394184, -94.640946)",HABITUAL OFFENDER (PERSON),Other,Other Criminal,54.97
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,69,Iowa Medical & Classification Center,204.401(1B),D Felony,"52241(41.694462, -91.58569)",MFG./DEL. OTHER CONTR/SUBST.,Drug,Trafficking,1.94
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,Iowa Medical & Classification Center,724.26(2)(a),D Felony,"52241(41.694462, -91.58569)",Dominion/Control of firearm/off weapon by domestic abuse offender,Public Order,Weapons,2.24
2016,04/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,30,Fort Dodge Correctional Facility,708.6(1),C Felony,"50501(42.494187, -94.188076)",INTIMIDATION WITH A DANGEROUS WEAPON,Violent,Assault,31.45
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,44,Mount Pleasant Correctional Facility,692A.111-B,D Felony,"52641(40.988278, -91.57896)",Sex Offender - Registration Violation - 2nd or subsequent offense,Public Order,Other Public Order,10.49
2014,06/01/2014 12:00:00 AM,Paroled w/Immediate Discharge,Black - Non-Hispanic,Female,36,Iowa Correctional Institution for Women,715A.2(2)a,D Felony,"50169(41.658201, -93.356797)",FORGERY,Property,Forgery/Fraud,49.64
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,35,Fort Dodge Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"50501(42.494187, -94.188076)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,26.91
2015,06/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,46,Anamosa State Penitentiary,124.411,Felony - Enhancement to Original Penalty,"52205(42.112167, -91.282703)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,52.8
2014,05/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,40,North Central Correctional Facility,124.401(1)(c)(6),C Felony,"50579(42.394184, -94.640946)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,17.14
2016,05/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,26,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,12.01
2016,06/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,33,North Central Correctional Facility,714.2(2),D Felony,"50579(42.394184, -94.640946)",THEFT 2ND DEGREE,Property,Theft,9.11
2014,06/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,25,North Central Correctional Facility,714.2(3),Aggravated Misdemeanor,"50579(42.394184, -94.640946)",THEFT 3RD DEGREE,Property,Theft,6.97
2014,05/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,25,Clarinda Correctional Facility,124.401(1)(c)(3),C Felony,"51632(40.747654, -95.045654)","Proh. Acts - Mfg, Del, Consp or Poss w/Int. - Cocaine LT 10 gm",Drug,Trafficking,18.09
2014,07/01/2013 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,51,Mount Pleasant Correctional Facility,"902.8,B",Felony - Enhancement to Original Penalty,"52641(40.988278, -91.57896)",HABITUAL OFFENDER (PROPERTY),Other,Other Criminal,31.45
2016,08/01/2015 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,57,Newton Correctional Facility,712.2,B Felony,"50208(41.707788, -93.035318)",ARSON 1ST DEGREE,Property,Arson,126.74
2016,05/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,22,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,8.26
2014,05/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Newton Correctional Facility,713.6A,D Felony,"50208(41.707788, -93.035318)",BURGLARY 3RD DEGREE,Property,Burglary,12.5
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,27,Iowa Medical & Classification Center,321J.2(C),D Felony,"52241(41.694462, -91.58569)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,4.11
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,41,Clarinda Correctional Facility,726.3,C Felony,"51632(40.747654, -95.045654)",NEGLECT OR ABANDONMENT,Violent,Other Violent,16.61
2015,05/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,39,Iowa Correctional Institution for Women,124.401(1)(c)(6),C Felony,"50169(41.658201, -93.356797)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,7.6
2014,06/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,37,Mount Pleasant Correctional Facility,124.401(1)(d)(2),D Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,13.06
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Hispanic,Female,33,Iowa Correctional Institution for Women,713.6A,D Felony,"50169(41.658201, -93.356797)",BURGLARY 3RD DEGREE,Property,Burglary,7.17
2014,06/01/2014 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,77,Mount Pleasant Correctional Facility,"901A.2(1),B",Aggravated Misdemeanor,"52641(40.988278, -91.57896)",Sexual Predator-Prior Conviction-10 Yr Special Sentence,Violent,Sex,78.49
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,12.89
2016,05/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,33,Fort Dodge Correctional Facility,708.4(2),D Felony,"50501(42.494187, -94.188076)",WILLFUL INJURY - CAUSING BODILY INJURY,Violent,Assault,13.36
2015,06/01/2015 12:00:00 AM,Work Release Granted,White - Hispanic,Male,48,North Central Correctional Facility,714.2(3),Aggravated Misdemeanor,"50579(42.394184, -94.640946)",THEFT 3RD DEGREE,Property,Theft,7.34
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,37,Newton Correctional Facility,124.401(1)(c)(6),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking,24.14
2014,05/01/2014 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,21,Fort Dodge Correctional Facility,708.4(2),D Felony,"50501(42.494187, -94.188076)",WILLFUL INJURY - CAUSING BODILY INJURY,Violent,Assault,15
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,21,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,17.7
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,124.411,Felony - Enhancement to Original Penalty,"50501(42.494187, -94.188076)",Cont Subst-2nd or Subseq-not to exceed 3X Penalty Enh,Drug,Trafficking,45.26
2015,06/01/2015 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,35,Mount Pleasant Correctional Facility,728.12(3),Aggravated Misdemeanor,"52641(40.988278, -91.57896)",Sexual Exploit. of Minor - 10 Yr. Special Sentence,Violent,Sex,3.95
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,34,Fort Dodge Correctional Facility,124.401(1)(d)(2),D Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,9.21
2015,06/01/2015 12:00:00 AM,Paroled to Detainer - U.S. Marshall,American Indian or Alaska Native - Non-Hispanic,Male,26,Anamosa State Penitentiary,"709.4(2C,4)",C Felony,"52205(42.112167, -91.282703)",Sexual Abuse 3rd Degree/Life Special Sentence.,Violent,Sex,46.61
2016,05/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,33,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,4.51
2014,06/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,46,Newton Correctional Facility,714.2(1),C Felony,"50208(41.707788, -93.035318)",THEFT 1ST DEGREE,Property,Theft,11.48
2014,05/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,41,Clarinda Correctional Facility,713.6A,D Felony,"51632(40.747654, -95.045654)",BURGLARY 3RD DEGREE,Property,Burglary,9.47
2015,06/01/2015 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,54,Fort Dodge Correctional Facility,692A.104-B,D Felony,"50501(42.494187, -94.188076)",Sex Offender - Registration Violation 2nd or subsequent offense,Public Order,Other Public Order,6.84
2015,06/01/2015 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,31,Clarinda Correctional Facility,724.26,D Felony,"51632(40.747654, -95.045654)","REC. TRANSP, POS. FIREARM FELON",Public Order,Weapons,12.89
2016,06/01/2016 12:00:00 AM,Released to Special Sentence,White - Non-Hispanic,Male,32,Newton Correctional Facility,709.11(3),Aggravated Misdemeanor,"50208(41.707788, -93.035318)",Asslt. to Commit Sex Abuse/No Inj.-10 Yr. Special Sent.,Violent,Sex,10.63
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,28,North Central Correctional Facility,713.5,C Felony,"50579(42.394184, -94.640946)",BURGLARY 2ND DEGREE,Property,Burglary,16.48
2014,06/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,26,North Central Correctional Facility,124.401(1)(c)(3),C Felony,"50579(42.394184, -94.640946)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 5gm",Drug,Trafficking,12.04
2014,06/01/2014 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,32,Anamosa State Penitentiary,708.7(2),Aggravated Misdemeanor,"52205(42.112167, -91.282703)",HARASSMENT / 1ST DEG.,Violent,Assault,8.19
2016,06/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,26,Iowa Correctional Institution for Women,708.2(4),D Felony,"50169(41.658201, -93.356797)",ASSAULT - SERIOUS INJURY,Violent,Assault,18.45
2015,06/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,25,Newton Correctional Facility,715A.2(2)a,D Felony,"50208(41.707788, -93.035318)",FORGERY,Property,Forgery/Fraud,58.52
2016,04/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Male,28,Newton Correctional Facility,124.401(1)(c)(2)(b),C Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 500gm",Drug,Trafficking,33.32
2014,06/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Female,26,Iowa Correctional Institution for Women,124.401(5)(c),D Felony,"50169(41.658201, -93.356797)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,4.28
2015,06/01/2015 12:00:00 AM,Paroled to Detainer - Out of State,White - Non-Hispanic,Male,44,Clarinda Correctional Facility,707.6A(4),D Felony,"51632(40.747654, -95.045654)",Serious Injury by Vehicle,Violent,Murder/Manslaughter,10.82
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,37,Mount Pleasant Correctional Facility,124.401(1)(d)(2),D Felony,"52641(40.988278, -91.57896)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,19.9
2016,05/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Female,36,Iowa Correctional Institution for Women,714.2(2),D Felony,"50169(41.658201, -93.356797)",THEFT 2ND DEGREE,Property,Theft,6.38
2014,05/01/2014 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,26,North Central Correctional Facility,708.8,D Felony,"50579(42.394184, -94.640946)",GOING ARMED WITH INTENT,Violent,Assault,18.13
2016,06/01/2016 12:00:00 AM,Parole Granted,Black - Non-Hispanic,Male,31,Fort Dodge Correctional Facility,124.401(1)(c)(2)(b),C Felony,"50501(42.494187, -94.188076)","Proh Acts-Mfg, Del, Consp or Poss w/Int-Cocaine LT 500gm",Drug,Trafficking,28.52
2014,06/01/2014 12:00:00 AM,Paroled to Detainer - U.S. Marshall,Black - Non-Hispanic,Male,35,Newton Correctional Facility,124.401(1)(d)(2),D Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,7.27
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,25,Newton Correctional Facility,124.401(1)(d)(2),D Felony,"50208(41.707788, -93.035318)","Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking,12.27
2016,06/01/2016 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,32,Iowa State Penitentiary,713.6A,D Felony,"52627(40.651925, -91.34727)",BURGLARY 3RD DEGREE,Property,Burglary,6.91
2016,06/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,22,Clarinda Correctional Facility,124.401(5)(c),D Felony,"51632(40.747654, -95.045654)",Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession,11.12
2016,06/01/2016 12:00:00 AM,Work Release Granted,White - Non-Hispanic,Male,41,North Central Correctional Facility,714.2(2),D Felony,"50579(42.394184, -94.640946)",THEFT 2ND DEGREE,Property,Theft,12.86
2014,06/01/2014 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,24,Mount Pleasant Correctional Facility,321J.2(C),D Felony,"52641(40.988278, -91.57896)",OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI,7.76
2015,05/01/2015 12:00:00 AM,Paroled w/Immediate Discharge,White - Non-Hispanic,Male,23,Clarinda Correctional Facility,714.2(2),D Felony,"51632(40.747654, -95.045654)",THEFT 2ND DEGREE,Property,Theft,10.66
2016,06/01/2016 12:00:00 AM,Work Release Granted,Black - Non-Hispanic,Female,27,Iowa Correctional Institution for Women,708.3A(3),Aggravated Misdemeanor,"50169(41.658201, -93.356797)",ASSAULT CAUSING INJURY--PEACE OFFICERS/OTHERS,Violent,Assault,7.01
2016,06/01/2016 12:00:00 AM,Released to Special Sentence,Black - Non-Hispanic,Male,36,Mount Pleasant Correctional Facility,709.8(3),D Felony,"52641(40.988278, -91.57896)",Lascivious Acts With A Child - 10 yr. special sentence,Violent,Sex,19.11
2015,05/01/2015 12:00:00 AM,Parole Granted,White - Non-Hispanic,Male,29,Fort Dodge Correctional Facility,708.2A(3B),Aggravated Misdemeanor,"50501(42.494187, -94.188076)",DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault,10.36
